"Listing Number","Status","Property Sub-Type","Street #","Street Name","Original List Price","Listing Price","Sold Price","Cumulative DOM","Days On Market","# Bedrooms","Baths - Total","Baths - Full","Baths - 3/4","Baths - 1/2","Baths - 1/4","Approx SqFt","Lot SqFt","Year Built","Sold Date"
"216000914","A","SF","5016","Amalfi","1499000.00","1340000.00","","675","334","4","4.00","3","0","1","0.00","4292.00","5800.00","1984",""
"216006693","P","SF","5506","Breakers","849000.00","799000.00","","169","169","4","3.00","2","0","1","0.00","1874.00","4022.00","1980",""
"216008446","A","SF","1511","Mandalay Beach","3695000.00","3575000.00","","188","188","4","4.00","4","0","0","0.00","4008.00","6098.00","1990",""
"216010513","A","SF","5241","Beachcomber","950000.00","899000.00","","335","153","3","2.00","2","0","0","0.00","2424.00","4000.00","1973",""
"216010399","A","SF","4814","Oceanaire","1279000.00","1199000.00","","151","151","4","3.00","3","0","0","0.00","3249.00","4000.00","2000",""
"216010964","A","SF","1069","Mandalay Beach","4195000.00","3895000.00","","143","143","3","5.00","4","0","1","0.00","4685.00","4323.00","2002",""
"216011294","A","SF","4906","Marlin","830000.00","789000.00","","137","137","3","2.00","2","0","0","0.00","1695.00","4132.00","1970",""
"216011655","A","TH","1312","Mandalay Beach","780000.00","760000.00","","129","129","3","3.00","2","0","1","0.00","1754.00","857.00","1992",""
"216011768","A","SF","5212","Reef","1200000.00","1124000.00","","129","129","4","4.00","3","0","1","0.00","2762.00","4167.00","2008",""
"216011865","A","TH","4952","Nautilus","359000.00","359000.00","","609","130","2","2.00","1","0","1","0.00","1073.00","1742.00","1978",""
"216012087","A","CN","5401","Driftwood","555000.00","534900.00","","123","123","2","3.00","2","0","1","0.00","1080.00","753.00","1981",""
"216012102","A","CN","1366","Neptune","1190000.00","1097000.00","","122","122","2","3.00","2","0","1","0.00","1466.00","1742.00","1978",""
"216012498","A","TH","5205","Wooley","402500.00","389000.00","","173","113","1","2.00","1","0","1","0.00","912.00","1742.00","1978",""
"216012598","A","TH","1277","Mandalay Beach Rd","615000.00","589900.00","","111","111","2","2.00","2","0","0","0.00","1441.00","952.00","1981",""
"216013583","A","SF","761","Mandalay Beach","3690000.00","3300000.00","","276","89","4","4.00","4","0","0","0.00","3535.00","2656.00","2009",""
"216014103","A","SF","5003","Terramar","999900.00","969900.00","","254","77","3","3.00","2","0","1","0.00","2936.00","5343.00","2009",""
"216014275","A","SF","4836","Amalfi","1150000.00","1150000.00","","72","72","4","3.00","2","0","1","0.00","2585.00","4268.00","2000",""
"16124476","P","SF","5121","SEABREEZE","500000.00","500000.00","","2","2","4","2.00","2","0","0","0.00","1838.00","4072.00","1980",""
"216014867","A","SF","1151","Capri","5500000.00","5500000.00","","58","58","5","5.00","3","0","2","0.00","5621.00","3840.00","1993",""
"216015167","A","TH","5060","Nautilus","609000.00","599000.00","","50","50","2","3.00","2","0","1","0.00","1607.00","829.00","1992",""
"216015237","A","SF","5028","Dolphin","989000.00","929000.00","","49","49","3","3.00","2","0","1","0.00","2860.00","4000.00","1988",""
"216015788","A","SF","5228","Outrigger","769000.00","769000.00","","32","32","3","2.00","2","0","0","0.00","1864.00","4086.00","1978",""
"216016295","P","TH","5145","Neptune","689900.00","689900.00","","8","8","3","2.00","2","0","0","0.00","1379.00","496.00","1986",""
"216016339","A","TH","5241","Neptune","850000.00","850000.00","","38","38","3","3.00","2","1","0","0.00","1683.00","868.00","1994",""
"216016517","P","SF","1125","Capri","2250000.00","2250000.00","","5","5","3","4.00","3","0","1","0.00","1768.00","6102.00","1971",""
